dataset,model,fold,method,joint_nll,joint_brier,joint_ece_15,conditional_nll_a_given_b,conditional_nll_b_given_a,marginal_distortion,factorization_tv,selected_policy,selected_weight,selected_lambda,n_train,n_validation,n_test,stratification
anneal,catboost,1,j1_b_then_a,0.8569049037757877,0.3566551256974197,0.209247223773728,0.1991857015454913,0.6577192022302963,0.0073851629807735,0.1008611972180098,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,1,j2_a_then_b,0.86874054706974,0.3623967594395944,0.2092547014241971,0.1872004292489614,0.6644529409305602,0.0412362485896041,0.1008611972180098,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,1,independent,0.8620068083694762,0.3568993137926319,0.2088689089989434,0.2042876061391798,0.6577192022302963,4.9616648951315145e-17,0.1008611972180098,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,1,arithmetic,0.8573308579755723,0.3559486332090358,0.2120865726859904,0.1907349218277169,0.6559124476815541,0.0243107057851888,0.1008611972180098,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,1,geometric,0.8530567643915193,0.3534051018833355,0.2237171928096309,0.1896507674805804,0.6532533917191278,0.024714377849174,0.1008611972180098,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,1,hard_core,0.851030489782879,0.3506589404427279,0.2116393817190919,0.1933112875525826,0.6467428836427283,4.594927259185142e-13,0.1008611972180098,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,1,soft_core_lambda_1,0.8505486478318981,0.3509317154587724,0.2286736622955459,0.1915288410620647,0.6484102059845533,0.0124921970183408,0.1008611972180098,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,1,selective_core,0.86874054706974,0.3623967594395944,0.2092547014241971,0.1872004292489614,0.6644529409305602,0.0412362485896041,0.1008611972180098,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,2,j1_b_then_a,0.7783173790630591,0.3449126776742444,0.2556948865865622,0.1644826933153154,0.6138346857477436,0.0150635202424149,0.0666321575774502,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,2,j2_a_then_b,0.8583225062587453,0.3719080903200112,0.2867748239577338,0.1902101178822735,0.6681123883764717,0.0248495009259558,0.0666321575774502,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,2,independent,0.8040448036300172,0.3531171944334591,0.2542463628116909,0.1902101178822735,0.6138346857477437,4.694256593683333e-17,0.0666321575774502,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,2,arithmetic,0.8123078355993876,0.3571184363736885,0.2655963438814105,0.1741507257940884,0.6366165873786218,0.0199565105841853,0.0666321575774502,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,2,geometric,0.8127996869486668,0.3565455586226136,0.2641305496343925,0.1747196702705808,0.638080016678086,0.0198068864244497,0.0666321575774502,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,2,hard_core,0.8040448036300171,0.3531171944334591,0.254246362811691,0.1902101178822735,0.6138346857477436,5.300223964149059e-17,0.0666321575774502,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,2,soft_core_lambda_1,0.8070515666422141,0.3542731131533363,0.261138354933202,0.1818037991356085,0.6252477675066055,0.0098583757237547,0.0666321575774502,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,2,selective_core,0.8583225062587453,0.3719080903200112,0.2867748239577338,0.1902101178822735,0.6681123883764717,0.0248495009259558,0.0666321575774502,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,3,j1_b_then_a,0.7799124238193405,0.3321024142530939,0.2683561525536608,0.1872177242848832,0.5926946995344573,0.0089000832977526,0.0789659779753965,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,3,j2_a_then_b,0.7320461708487092,0.3157189272759644,0.2604075796313928,0.1337358481579999,0.5675303620099934,0.0286782974926906,0.0789659779753965,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,3,independent,0.7572105083731728,0.323401902302239,0.2673458839182441,0.1645158088387157,0.5926946995344573,5.2116243178662585e-17,0.0789659779753965,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,3,arithmetic,0.7522927910197361,0.3219266198529624,0.271656849063018,0.1588128068908482,0.5768489400448493,0.0187891903952216,0.0789659779753965,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,3,geometric,0.7469342264340606,0.3192353689021011,0.2641155899655853,0.155897115150039,0.5733080461930266,0.0190784809350182,0.0789659779753965,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,3,hard_core,0.7384855934829815,0.3147582318918209,0.2666112892790726,0.1457908939485241,0.5739697846419213,7.911239446477177e-13,0.0789659779753965,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,3,soft_core_lambda_1,0.7417287034145231,0.3164650471134479,0.2681178858665692,0.151147612188419,0.5723131823562702,0.0098120218244635,0.0789659779753965,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,3,selective_core,0.7320461708487092,0.3157189272759644,0.2604075796313928,0.1337358481579999,0.5675303620099934,0.0286782974926906,0.0789659779753965,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,4,j1_b_then_a,1.047258202259413,0.3931382820293712,0.1972531410608665,0.2063959811130624,0.8408622211463506,0.0102409830672992,0.127908917268115,geometric,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,4,j2_a_then_b,1.0726544986063558,0.4215336022598179,0.1905119958928954,0.1867644343316783,0.8608961476570389,0.0512166602243996,0.127908917268115,geometric,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,4,independent,1.0526205720956674,0.3969866703062043,0.1944002599563251,0.2117583509493169,0.8408622211463506,5.126412803372477e-17,0.127908917268115,geometric,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,4,arithmetic,1.053739553806003,0.4020558568205844,0.1867300139125371,0.1953997279851767,0.8454005779622122,0.0307288216458494,0.127908917268115,geometric,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,4,geometric,1.043128242504416,0.3978994689138358,0.1802879358437825,0.1932380987753137,0.838269483614158,0.0320500344336215,0.127908917268115,geometric,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,4,hard_core,1.0391361106662351,0.3903787013668963,0.1970702483686677,0.1982738895198842,0.8273777597167304,6.470850720893428e-13,0.127908917268115,geometric,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,4,soft_core_lambda_1,1.0388125528189969,0.3924964186222659,0.2080097405879551,0.1954843865585268,0.8308362598367947,0.0158310394817581,0.127908917268115,geometric,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,catboost,4,selective_core,1.072654498606356,0.4215336022598179,0.1905119958928955,0.1867644343316783,0.8608961476570389,0.0512166602243996,0.127908917268115,geometric,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
