dataset,model,method,joint_nll_mean,joint_nll_sd,joint_brier_mean,factorization_tv_mean,marginal_distortion_mean,n_folds
diamonds,catboost,geometric,2.7640129686235304,0.07945394245639771,0.9122249923682689,0.08997970138147027,0.02706499459369876,5
diamonds,catboost,hard_core,2.7631254660751474,0.08947603133120581,0.9130844474733145,0.08997970138147027,1.808108255675102e-13,5
diamonds,catboost,independent,2.7603319797170878,0.09024575912732745,0.9127830445378935,0.08997970138147027,4.8271391224485874e-17,5
diamonds,catboost,j1_b_then_a,2.777749781741091,0.07535136157359543,0.9138940400195098,0.08997970138147027,0.02045495122572516,5
diamonds,catboost,j2_a_then_b,2.7635691526184925,0.08567842089222275,0.9122288928576076,0.08997970138147027,0.03396457553243392,5
diamonds,catboost,selective_core,2.7727235087372093,0.0826808415743024,0.9135487441472632,0.08997970138147027,0.013546557190067452,5
diamonds,catboost,soft_core_lambda_1,2.762306436604462,0.0843351266531286,0.9124730276283811,0.08997970138147027,0.01351884820622882,5
diamonds,tabiclv2,arithmetic,2.1689432243244853,0.07582352849877318,0.8400322371917017,0.14553639621853792,0.04260151252582488,5
diamonds,tabiclv2,geometric,2.172002499155452,0.07395939016846478,0.8403735027673186,0.14553639621853792,0.04195550472653704,5
diamonds,tabiclv2,hard_core,2.18279495284751,0.07956089260625354,0.8423526264920277,0.14553639621853792,1.3439804692019324e-13,5
diamonds,tabiclv2,independent,2.1896045222820133,0.07804892492506599,0.8430890309391291,0.14553639621853792,4.7491252042496487e-17,5
diamonds,tabiclv2,j1_b_then_a,2.1970878303588774,0.06075614724605985,0.8430046040932018,0.14553639621853792,0.028253388542059422,5
diamonds,tabiclv2,j2_a_then_b,2.1899010818139164,0.0963123569592572,0.8457503302390897,0.14553639621853792,0.056949636509590416,5
diamonds,tabiclv2,selective_core,2.1846758261291432,0.07904148266253243,0.8424735094438102,0.14553639621853792,0.03744241317403898,5
diamonds,tabiclv2,soft_core_lambda_1,2.172749274196925,0.07508047883660404,0.8405194523039949,0.14553639621853792,0.02095212663665314,5
diamonds,tabpfn3,arithmetic,2.2531182065094337,0.08855367597926324,0.8535306008274752,0.07279379983502854,0.02061734884597032,5
diamonds,tabpfn3,geometric,2.252498035937525,0.08872665738770118,0.8534240528958834,0.07279379983502854,0.02037545379577536,5
diamonds,tabpfn3,hard_core,2.2470916052903034,0.09025100601649856,0.8525626677419499,0.07279379983502854,1.5502013765554306e-13,5
diamonds,tabpfn3,independent,2.2506889551831377,0.09172807477840786,0.8529974540873985,0.07279379983502854,4.756316249274042e-17,5
diamonds,tabpfn3,j1_b_then_a,2.257430166848352,0.08730954069455575,0.8541159174035317,0.07279379983502854,0.01535022669474736,5
diamonds,tabpfn3,j2_a_then_b,2.258868133437216,0.09442520142633554,0.8547641913490892,0.07279379983502854,0.02588447099719336,5
diamonds,tabpfn3,selective_core,2.241908429908173,0.07724596922468506,0.8511486447462729,0.07279379983502854,0.007802255885115831,5
diamonds,tabpfn3,soft_core_lambda_1,2.248676030240673,0.08914564675098632,0.8527723467453535,0.07279379983502854,0.01017495047174978,5
marketing,catboost,arithmetic,1.7995301271433408,0.07095952294441076,0.7820571373242722,0.05653477556427224,0.01617992809799976,5
marketing,catboost,geometric,1.7994283465207253,0.07073382209519914,0.7820469307658842,0.05653477556427224,0.016229978274034378,5
marketing,catboost,hard_core,1.8021604815152152,0.06623328551926232,0.7832583755086763,0.05653477556427224,1.0651903146964746e-13,5
marketing,catboost,independent,1.8073136108310497,0.06559533653612162,0.7841839116311898,0.05653477556427224,4.213074117007109e-17,5
marketing,catboost,j1_b_then_a,1.8044659603935276,0.06801510498600011,0.7838020558452746,0.05653477556427224,0.00780731023194384,5
marketing,catboost,j2_a_then_b,1.8000044189660067,0.07476961921766785,0.781932116428034,0.05653477556427224,0.02455254596405576,5
marketing,catboost,selective_core,1.8045912294695383,0.0671047663869718,0.7827831535205523,0.05653477556427224,0.00480895492720426,5
marketing,catboost,soft_core_lambda_1,1.8001391384312027,0.06834285322426076,0.7824447224058593,0.05653477556427224,0.00813596698334052,5
marketing,tabiclv2,arithmetic,1.7577830939935075,0.10409472684406795,0.7703711861182877,0.060030504526716634,0.01753770760894224,5
marketing,tabiclv2,geometric,1.7569193445451003,0.10492236768986356,0.7702940818758887,0.060030504526716634,0.01753325607740788,5
