dataset,model,fold,family,selected_kind,selected_weight,selected_penalty,joint_nll,marginal_distortion
wine,tabpfn3,2,raw_only,j2,0.5,,1.057551905044976,0.0016191702734762
wine,tabpfn3,2,pool_only,geometric,0.25,,1.058906262729676,0.0059166045389953
wine,tabpfn3,2,repair_only,soft,0.25,0.1,1.0587727895859105,0.0054549120776671
wine,tabpfn3,2,full,soft,0.25,0.1,1.0587727895859105,0.0054549120776671
wine,tabpfn3,3,raw_only,j2,0.5,,1.212735717031966,0.0007111356543024
wine,tabpfn3,3,pool_only,geometric,0.25,,1.2026584277658947,0.0048915170556803
wine,tabpfn3,3,repair_only,soft,0.25,0.3,1.2025207444801076,0.0038697468245344
wine,tabpfn3,3,full,soft,0.25,0.3,1.2025207444801076,0.0038697468245344
wine,tabpfn3,4,raw_only,j2,0.5,,1.0427525095009709,0.0008685685607636
wine,tabpfn3,4,pool_only,geometric,0.5,,1.034903020908141,0.0088798474563161
wine,tabpfn3,4,repair_only,soft,0.5,0.03,1.0350791351100064,0.0086376054892965
wine,tabpfn3,4,full,geometric,0.5,,1.034903020908141,0.0088798474563161
wine,tabpfn3,5,raw_only,j1,0.5,,1.1288129779995362,0.0162702571297163
wine,tabpfn3,5,pool_only,geometric,1.0,,1.1288129779995362,0.0162702571297163
wine,tabpfn3,5,repair_only,soft,1.0,0.03,1.1288960163507853,0.0157352166236306
wine,tabpfn3,5,full,j1,0.5,,1.1288129779995362,0.0162702571297163
wine,catboost,1,raw_only,j1,0.5,,1.241099498165059,0.0318066041212255
wine,catboost,1,pool_only,geometric,1.0,,1.2410994981650592,0.0318066041212255
wine,catboost,1,repair_only,soft,1.0,0.1,1.24024293927802,0.0291375540872175
wine,catboost,1,full,soft,1.0,0.1,1.24024293927802,0.0291375540872175
wine,catboost,2,raw_only,j1,0.5,,1.2431520755051106,0.0307773384040586
wine,catboost,2,pool_only,geometric,1.0,,1.2431520755051106,0.0307773384040586
wine,catboost,2,repair_only,soft,1.0,0.03,1.242984136068571,0.0299581456882073
wine,catboost,2,full,j1,0.5,,1.2431520755051106,0.0307773384040586
wine,catboost,3,raw_only,j1,0.5,,1.370627749329604,0.0287228960996174
wine,catboost,3,pool_only,geometric,1.0,,1.370627749329604,0.0287228960996174
wine,catboost,3,repair_only,soft,1.0,0.03,1.370435093827845,0.0279537008671319
wine,catboost,3,full,j1,0.5,,1.370627749329604,0.0287228960996174
wine,catboost,4,raw_only,j1,0.5,,1.2150043323358868,0.0280635140620834
wine,catboost,4,pool_only,geometric,1.0,,1.2150043323358868,0.0280635140620834
wine,catboost,4,repair_only,soft,1.0,0.03,1.2148879999321454,0.0273111296955851
wine,catboost,4,full,j1,0.5,,1.2150043323358868,0.0280635140620834
wine,catboost,5,raw_only,j1,0.5,,1.2740897147460415,0.0263971109864178
wine,catboost,5,pool_only,geometric,0.75,,1.274095430884361,0.02194484081209
wine,catboost,5,repair_only,soft,1.0,3.0,1.2737433687286766,0.0071294810485566
wine,catboost,5,full,soft,1.0,3.0,1.2737433687286766,0.0071294810485566
credit,tabiclv2,1,raw_only,j1,0.5,,1.7768870663832326,0.0138357184303172
credit,tabiclv2,1,pool_only,geometric,1.0,,1.7768870663832326,0.0138357184303173
credit,tabiclv2,1,repair_only,soft,1.0,0.03,1.7764392324267195,0.0135071898827614
credit,tabiclv2,1,full,j1,0.5,,1.7768870663832326,0.0138357184303172
credit,tabiclv2,2,raw_only,j2,0.5,,1.812285698544188,0.025790243222021
credit,tabiclv2,2,pool_only,geometric,0.5,,1.7968977610783017,0.0225678075949561
credit,tabiclv2,2,repair_only,soft,0.5,3.0,1.8116385317561563,0.0062632904570107
credit,tabiclv2,2,full,soft,0.5,3.0,1.8116385317561563,0.0062632904570107
credit,tabiclv2,3,raw_only,j1,0.5,,1.6965897459035626,0.024622975487355
credit,tabiclv2,3,pool_only,geometric,1.0,,1.6965897459035624,0.024622975487355
credit,tabiclv2,3,repair_only,soft,1.0,0.3,1.6980606063143735,0.0200149809224303
credit,tabiclv2,3,full,soft,1.0,0.3,1.6980606063143735,0.0200149809224303
credit,tabiclv2,4,raw_only,j2,0.5,,1.6538361517605935,0.0280748150236213
credit,tabiclv2,4,pool_only,geometric,0.0,,1.6538361517605935,0.0280748150236213
credit,tabiclv2,4,repair_only,soft,0.0,0.03,1.6540368729328494,0.0274236053794067
credit,tabiclv2,4,full,j2,0.5,,1.6538361517605935,0.0280748150236213
credit,tabiclv2,5,raw_only,j1,0.5,,1.7475952418843663,0.0154149977742401
credit,tabiclv2,5,pool_only,geometric,0.5,,1.7400593731292786,0.0183795532416152
credit,tabiclv2,5,repair_only,hard,1.0,,1.7431643066870317,1.0210408907251889e-13
